,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,Type
3191,6.7,0.5,0.36,11.5,0.096,18,92,0.99642,3.11,0.49,9.6,5,White Wine
430,9.3,0.2,0.33,1.7,0.05,28,178,0.9954,3.16,0.43,9,4,White Wine
4187,8.2,0.26,0.44,1.3,0.046,7,69,0.9944,3.14,0.62,10.2,4,White Wine
6016,6.6,0.2,0.14,4.4,0.184,35,168,0.99396,2.93,0.45,9.4,6,White Wine
2446,7.4,0.49,0.27,2.1,0.071,14,25,0.99388,3.35,0.63,12,6,Red Wine
2659,8.6,0.37,0.7,12.15,0.039,21,158,0.9983,3,0.73,9.3,6,White Wine
1589,7.2,0.21,0.36,15.7,0.045,68,183,0.99922,3.25,0.76,9.4,5,White Wine
2956,6.5,0.3,0.32,2,0.044,34,90,0.99185,3.37,0.68,11,7,White Wine
2681,5.8,0.27,0.27,12.3,0.045,55,170,0.9972,3.28,0.42,9.3,6,White Wine
4180,6.6,0.19,0.99,1.2,0.122,45,129,0.9936,3.09,0.31,8.7,6,White Wine
2251,6,0.27,0.31,5,0.043,54,170,0.9924,3.28,0.52,11,6,White Wine
4420,7.7,0.58,0.01,1.8,0.088,12,18,0.99568,3.32,0.56,10.5,7,Red Wine
4870,15.6,0.685,0.76,3.7,0.1,6,43,1.0032,2.95,0.68,11.2,7,Red Wine
1071,7.8,0.7,0.06,1.9,0.079,20,35,0.99628,3.4,0.69,10.9,5,Red Wine
4735,9.6,0.38,0.42,1.9,0.071,5,13,0.99659,3.15,0.75,10.5,6,Red Wine
6132,6.5,0.29,0.31,1.7,0.035,24,79,0.99053,3.27,0.69,11.4,7,White Wine
5251,7.4,0.24,0.26,1.6,0.058,53,150,0.9936,3.18,0.5,9.9,7,White Wine
5068,6.6,0.84,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3,7,Red Wine
1204,6.9,0.4,0.22,5.95,0.081,76,303,0.99705,3.4,0.57,9.4,5,White Wine
6120,7,0.29,0.37,1.6,0.035,34,126,0.99058,3.26,0.47,12.3,6,White Wine
3918,7.6,0.9,0.06,2.5,0.079,5,10,0.9967,3.39,0.56,9.8,5,Red Wine
1167,5.7,0.21,0.37,4.5,0.04,58,140,0.99332,3.29,0.62,10.6,6,White Wine
1684,6.7,0.16,0.49,2.4,0.046,57,187,0.9952,3.62,0.81,10.4,6,White Wine
3299,4.9,0.345,0.34,1,0.068,32,143,0.99138,3.24,0.4,10.1,5,White Wine
2767,6.1,0.27,0.44,6.7,0.041,61,230,0.99505,3.12,0.4,8.9,5,White Wine
2957,7.9,0.42,0.49,8.2,0.056,32,164,0.9965,3.29,0.6,11.2,7,White Wine
4469,7.1,0.21,0.72,1.6,0.167,65,120,0.99324,2.97,0.51,9.2,5,White Wine
5973,8.7,0.45,0.4,1.5,0.067,17,100,0.9957,3.27,0.57,10.1,6,White Wine
560,4.7,0.785,0,3.4,0.036,23,134,0.98981,3.53,0.92,13.8,6,White Wine
5425,7.2,0.44,0.28,3.4,0.048,22,112,0.99188,3.21,0.37,11.3,7,White Wine
1605,7.3,0.25,0.26,7.2,0.048,52,207,0.99587,3.12,0.37,9.2,5,White Wine
6313,8.7,0.69,0,3.2,0.084,13,33,0.9992,3.36,0.45,9.4,5,Red Wine
5795,7.6,0.27,0.42,2.6,0.044,29,110,0.9912,3.31,0.51,12.7,6,White Wine
1472,7.6,0.4,0.27,1.2,0.053,23,193,0.99164,3.22,0.38,11.6,5,White Wine
3678,6.9,0.27,0.49,23.5,0.057,59,235,1.0024,2.98,0.47,8.6,5,White Wine
256,5.8,0.23,0.27,1.8,0.043,24,69,0.9933,3.38,0.31,9.4,6,White Wine
6001,7.1,0.2,0.37,1.5,0.049,28,129,0.99226,3.15,0.52,10.8,5,White Wine
3762,10.2,0.645,0.36,1.8,0.053,5,14,0.9982,3.17,0.42,10,6,Red Wine
5412,6.2,0.15,0.49,0.9,0.033,17,51,0.9932,3.3,0.7,9.4,6,White Wine
1954,9.5,0.59,0.44,2.3,0.071,21,68,0.9992,3.46,0.63,9.5,5,Red Wine
816,6.2,0.28,0.22,7.3,0.041,26,157,0.9957,3.44,0.64,9.8,7,White Wine
2435,7.7,0.24,0.31,1.3,0.047,33,106,0.993,3.22,0.55,10.8,6,White Wine
1634,6.9,0.23,0.4,7.5,0.04,50,151,0.9927,3.11,0.27,11.4,6,White Wine
973,6.5,0.28,0.28,20.4,0.041,40,144,1.0002,3.14,0.38,8.7,5,White Wine
4464,7.4,0.23,0.25,1.4,0.049,43,141,0.9934,3.42,0.54,10.2,7,White Wine
2023,6.5,0.33,0.38,2.5,0.047,30,148,0.98964,3.17,0.43,12.7,6,White Wine
2965,10.1,0.65,0.37,5.1,0.11,11,65,1.0026,3.32,0.64,10.4,6,Red Wine
201,6.9,0.18,0.3,2,0.038,39,190,0.9914,3.32,0.37,12.2,6,White Wine
2431,7.7,0.32,0.62,10.6,0.036,56,153,0.9978,3.13,0.44,8.9,6,White Wine
5632,7.1,0.59,0.01,2.3,0.08,27,43,0.9955,3.42,0.58,10.7,6,Red Wine
6026,8.5,0.21,0.52,1.9,0.09,9,23,0.99648,3.36,0.67,10.4,5,Red Wine
2418,6.9,0.37,0.23,9.5,0.057,54,166,0.99568,3.23,0.42,10,5,White Wine
4651,6.1,0.36,0.27,2.1,0.035,16,100,0.9917,3.4,0.71,11.5,7,White Wine
5050,7.4,0.63,0.07,2.4,0.09,11,37,0.9979,3.43,0.76,9.7,6,Red Wine
3455,8.1,0.43,0.42,6.6,0.033,36,141,0.9918,2.98,0.39,13.3,7,White Wine
6167,7,0.17,0.33,4,0.034,17,127,0.9934,3.19,0.39,10.6,7,White Wine
5819,11.1,0.31,0.53,2.2,0.06,3,10,0.99572,3.02,0.83,10.9,7,Red Wine
4226,6.3,0.28,0.29,6.8,0.051,40,143,0.99374,3.43,0.59,11,6,White Wine
6242,6.4,0.2,0.32,3.1,0.041,18,126,0.9914,3.43,0.42,12,6,White Wine
931,7.9,0.4,0.29,1.8,0.157,1,44,0.9973,3.3,0.92,9.5,6,Red Wine
6267,6,0.52,0.33,7.7,0.046,24,119,0.99224,3.04,0.38,11,6,White Wine
1987,9.3,0.38,0.48,3.8,0.132,3,11,0.99577,3.23,0.57,13.2,6,Red Wine
6062,7.2,0.34,0.32,2.5,0.09,43,113,0.9966,3.32,0.79,11.1,5,Red Wine
2787,5.9,0.26,0.29,5.4,0.046,34,116,0.99224,3.24,0.41,11.4,6,White Wine
4305,6.8,0.15,0.41,12.9,0.044,79.5,183,0.99742,3.24,0.78,10.2,6,White Wine
2610,6.8,0.26,0.33,1.5,0.047,44,167,0.9928,3.12,0.44,10.5,6,White Wine
5531,7.6,0.48,0.28,10.4,0.049,57,205,0.99748,3.24,0.45,9.3,5,White Wine
4182,7.6,0.2,0.3,14.2,0.056,53,212.5,0.999,3.14,0.46,8.9,8,White Wine
4968,7.5,0.23,0.32,9.2,0.038,54,191,0.9966,3.04,0.56,9.7,6,White Wine
2059,6.4,0.3,0.36,2,0.052,18,141,0.99273,3.38,0.53,10.5,6,White Wine
307,7.4,0.2,0.29,1.7,0.047,16,100,0.99243,3.28,0.45,10.6,6,White Wine
5200,9.1,0.76,0.68,1.7,0.414,18,64,0.99652,2.9,1.33,9.1,6,Red Wine
6176,5.7,0.16,0.26,6.3,0.043,28,113,0.9936,3.06,0.58,9.9,6,White Wine
5302,6.8,0.32,0.39,9.6,0.026,34,124,0.99286,3.18,0.35,12.1,6,White Wine
1152,7,0.16,0.73,1,0.138,58,150,0.9936,3.08,0.3,9.2,5,White Wine
275,5.7,0.27,0.32,1.2,0.046,20,155,0.9934,3.8,0.41,10.2,6,White Wine
5294,7.4,0.635,0.1,2.4,0.08,16,33,0.99736,3.58,0.69,10.8,7,Red Wine
5674,10.6,0.48,0.64,2.2,0.111,6,20,0.997,3.26,0.66,11.7,6,Red Wine
5491,9.9,0.35,0.55,2.1,0.062,5,14,0.9971,3.26,0.79,10.6,5,Red Wine
1208,7.7,0.66,0.04,1.6,0.039,4,9,0.9962,3.4,0.47,9.4,5,Red Wine
2492,6.8,0.3,0.26,20.3,0.037,45,150,0.99727,3.04,0.38,12.3,6,White Wine
2536,6.8,0.18,0.21,5.4,0.053,34,104,0.99445,3.3,0.43,9.4,5,White Wine
6430,8.2,0.4,0.44,2.8,0.089,11,43,0.9975,3.53,0.61,10.5,6,Red Wine
5400,5.8,0.32,0.28,4.3,0.032,46,115,0.98946,3.16,0.57,13,8,White Wine
637,8,0.19,0.36,1.8,0.05,16,84,0.9936,3.15,0.45,9.8,7,White Wine
770,6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,7,White Wine
94,7.2,0.23,0.39,14.2,0.058,49,192,0.9979,2.98,0.48,9,7,White Wine
3298,6.7,0.12,0.36,2.3,0.039,43,125,0.99229,3.07,0.67,10.1,7,White Wine
5995,6.2,0.28,0.33,1.7,0.029,24,111,0.99,3.24,0.5,12.1,6,White Wine
6000,7.3,0.22,0.41,15.4,0.05,55,191,1,3.32,0.59,8.9,6,White Wine
2344,9.1,0.28,0.49,2,0.059,10,112,0.9958,3.15,0.46,10.1,5,White Wine
5448,7.1,0.27,0.6,2.1,0.074,17,25,0.99814,3.38,0.72,10.6,6,Red Wine
3091,6.9,0.24,0.4,15.4,0.052,81,198,0.9986,3.2,0.69,9.4,5,White Wine
4703,7.2,0.24,0.27,1.4,0.038,31,122,0.9927,3.15,0.46,10.3,6,White Wine
3912,5.6,0.26,0,10.2,0.038,13,111,0.99315,3.44,0.46,12.4,6,White Wine
1434,6.7,0.2,0.41,9.1,0.044,50,166,0.9954,3.14,0.58,9.8,6,White Wine
5368,9.1,0.4,0.57,4.6,0.08,6,20,0.99652,3.28,0.57,12.5,6,Red Wine
180,7.1,0.18,0.39,15.25,0.047,45,158,0.99946,3.34,0.77,9.1,6,White Wine
2371,8.1,1.33,0,1.8,0.082,3,12,0.9964,3.54,0.48,10.9,5,Red Wine
3854,5,0.55,0.14,8.3,0.032,35,164,0.9918,3.53,0.51,12.5,8,White Wine
4845,5.9,0.19,0.26,7.4,0.034,33,123,0.995,3.49,0.42,10.1,6,White Wine
2187,6.7,0.41,0.27,2.6,0.033,25,85,0.99086,3.05,0.34,11.7,6,White Wine
5116,6.6,0.56,0.15,10,0.037,38,157,0.99642,3.28,0.52,9.4,5,White Wine
2646,6.6,0.29,0.44,9,0.053,62,178,0.99685,3.02,0.45,8.9,5,White Wine
3533,6.7,0.3,0.5,12.1,0.045,38,127,0.9974,3.04,0.53,8.9,6,White Wine
2937,9.6,0.77,0.12,2.9,0.082,30,74,0.99865,3.3,0.64,10.4,6,Red Wine
1645,8.4,0.2,0.38,11.8,0.055,51,170,1.0004,3.34,0.82,8.9,6,White Wine
4939,6.2,0.12,0.34,1.5,0.045,43,117,0.9939,3.42,0.51,9,6,White Wine
1552,5.9,0.36,0.04,5.7,0.046,21,87,0.9934,3.22,0.51,10.2,5,White Wine
3224,5.6,0.19,0.46,1.1,0.032,33,115,0.9909,3.36,0.5,10.4,6,White Wine
5021,6.7,0.48,0.49,2.9,0.03,28,122,0.98926,3.13,0.4,13,6,White Wine
2197,9,0.58,0.25,2,0.104,8,21,0.99769,3.27,0.72,9.6,5,Red Wine
1134,8.5,0.19,0.49,3.5,0.044,29,117,0.9938,3.14,0.51,10.1,6,White Wine
25,8.1,0.28,0.34,1.3,0.035,11,126,0.99232,3.14,0.5,9.8,6,White Wine
1488,7.1,0.68,0,2.3,0.087,17,26,0.99783,3.45,0.53,9.5,5,Red Wine
956,5.8,0.28,0.66,9.1,0.039,26,159,0.9965,3.66,0.55,10.8,5,White Wine
1913,6.4,0.62,0.12,4.7,0.06,33,196,0.99556,3.22,0.48,8.9,5,White Wine
2934,5.9,0.28,0.14,8.6,0.032,30,142,0.99542,3.28,0.44,9.5,6,White Wine
5237,7.4,0.64,0.07,1.8,0.1,8,23,0.9961,3.3,0.58,9.6,5,Red Wine
1469,5.9,0.25,0.25,11.3,0.052,30,165,0.997,3.24,0.44,9.5,6,White Wine
5715,6.4,0.865,0.03,3.2,0.071,27,58,0.995,3.61,0.49,12.7,6,Red Wine
2721,5.3,0.2,0.31,3.6,0.036,22,91,0.99278,3.41,0.5,9.8,6,White Wine
1896,8.6,0.33,0.34,11.8,0.059,42,240,0.99882,3.17,0.52,10,6,White Wine
928,8.3,0.4,0.41,8.2,0.05,15,122,0.9979,3.39,0.49,9.3,5,White Wine
5627,6.1,0.21,0.4,1.4,0.066,40.5,165,0.9912,3.25,0.59,11.9,6,Red Wine
2811,6.6,0.56,0.16,3.1,0.045,28,92,0.994,3.12,0.35,9.1,6,White Wine
6265,7.6,0.36,0.49,11.3,0.046,87,221,0.9984,3.01,0.43,9.2,5,White Wine
5446,6.2,0.2,0.28,1.1,0.039,24,78,0.9899,3.36,0.47,12.1,6,White Wine
469,5.9,0.32,0.19,14.5,0.042,37,115,0.99684,3.16,0.43,10.3,5,White Wine
2335,7,0.2,0.4,1.1,0.058,30,93,0.99322,3.03,0.38,9.2,6,White Wine
525,6.9,0.34,0.49,7.3,0.045,61,206,0.9957,3.09,0.4,9,6,White Wine
1863,6.5,0.26,0.27,12.9,0.044,69,215,0.9967,3.17,0.43,10,6,White Wine
1720,8.5,0.28,0.34,13.8,0.041,32,161,0.9981,3.13,0.4,9.9,6,White Wine
5272,6.5,0.17,0.31,1.5,0.041,34,121,0.99092,3.06,0.46,10.5,6,White Wine
591,10.3,0.32,0.45,6.4,0.073,5,13,0.9976,3.23,0.82,12.6,8,Red Wine
6185,6.8,0.19,0.4,9.85,0.055,41,103,0.99532,2.98,0.56,10.5,6,White Wine
2322,7.1,0.27,0.31,18.2,0.046,55,252,1,3.07,0.56,8.7,5,White Wine
3510,6.5,0.63,0.33,1.8,0.059,16,28,0.99531,3.36,0.64,10.1,6,Red Wine
207,6.2,0.25,0.25,1.4,0.03,35,105,0.9912,3.3,0.44,11.1,7,White Wine
4262,7.1,0.23,0.35,16.5,0.04,60,171,0.999,3.16,0.59,9.1,6,White Wine
6255,12.4,0.35,0.49,2.6,0.079,27,69,0.9994,3.12,0.75,10.4,6,Red Wine
3421,8.2,0.27,0.43,1.6,0.035,31,128,0.9916,3.1,0.5,12.3,6,White Wine
4089,8.2,0.345,1,18.2,0.047,55,205,0.99965,2.96,0.43,9.6,5,White Wine
5249,7.7,0.715,0.01,2.1,0.064,31,43,0.99371,3.41,0.57,11.8,6,Red Wine
1910,6.9,0.25,0.24,3.6,0.057,13,85,0.9942,2.99,0.48,9.5,4,White Wine
2860,7,0.36,0.32,10.5,0.045,35,135,0.9935,3.09,0.33,11.6,8,White Wine
216,7,0.35,0.17,1.1,0.049,7,119,0.99297,3.13,0.36,9.7,6,White Wine
24,7.3,0.28,0.36,12.7,0.04,38,140,0.998,3.3,0.79,9.6,6,White Wine
4163,7.4,0.64,0.07,1.8,0.1,8,23,0.9961,3.3,0.58,9.6,5,Red Wine
3026,5.4,0.595,0.1,2.8,0.042,26,80,0.9932,3.36,0.38,9.3,5,White Wine
5103,6.2,0.51,0.14,1.9,0.056,15,34,0.99396,3.48,0.57,11.5,6,Red Wine
2282,7.4,0.23,0.38,8.6,0.052,41,150,0.99534,3.06,0.46,10.3,5,White Wine
1740,7.2,0.16,0.29,1,0.031,40,123,0.98958,3.12,0.4,12.1,7,White Wine
6118,6,0.67,0.07,1.2,0.06,9,108,0.9931,3.11,0.35,8.7,4,White Wine
4387,6.4,0.31,0.31,12.9,0.045,55,161,0.99546,3.02,0.59,10.2,5,White Wine
5846,7,0.3,0.27,1.5,0.076,24,145,0.99344,3.1,0.52,10.1,5,White Wine
5118,7.4,0.22,0.33,2,0.045,31,101,0.9931,3.42,0.55,11.4,5,White Wine
3781,9,0.82,0.05,2.4,0.081,26,96,0.99814,3.36,0.53,10,5,Red Wine
2775,5.6,0.26,0.27,10.6,0.03,27,119,0.9947,3.4,0.34,10.7,7,White Wine
2603,6.7,0.27,0.31,15.7,0.036,44,179,0.9979,3.26,0.56,9.6,5,White Wine
6176,5.7,0.16,0.26,6.3,0.043,28,113,0.9936,3.06,0.58,9.9,6,White Wine
5736,6.1,0.28,0.16,1.3,0.06,36,126,0.99353,3.13,0.46,8.7,6,White Wine
6356,8.4,0.56,0.04,2,0.082,10,22,0.9976,3.22,0.44,9.6,5,Red Wine
1162,6.8,0.22,0.35,17.5,0.039,38,153,0.9994,3.24,0.42,9,6,White Wine
5814,7.3,0.22,0.49,9.9,0.031,48,161,0.9937,3.01,0.28,11.2,6,White Wine
4075,6.8,0.27,0.42,7.3,0.054,58,200,0.99556,3.12,0.49,9.4,6,White Wine
5541,6.3,0.27,0.25,5.8,0.038,52,155,0.995,3.28,0.38,9.4,6,White Wine
623,7.1,0.17,0.4,14.55,0.047,47,156,0.99945,3.34,0.78,9.1,6,White Wine
770,6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,7,White Wine
5659,6.4,0.33,0.3,7.2,0.041,42,168,0.99331,3.22,0.49,11.1,6,White Wine
4051,10.3,0.41,0.42,2.4,0.213,6,14,0.9994,3.19,0.62,9.5,6,Red Wine
1241,6.8,0.32,0.28,4.8,0.034,25,100,0.99026,3.08,0.47,12.4,7,White Wine
2711,5,0.33,0.16,1.5,0.049,10,97,0.9917,3.48,0.44,10.7,6,White Wine
821,9.3,0.43,0.44,1.9,0.085,9,22,0.99708,3.28,0.55,9.5,5,Red Wine
4403,9.4,0.27,0.53,2.4,0.074,6,18,0.9962,3.2,1.13,12,7,Red Wine
1198,7.5,0.17,0.71,11.8,0.038,52,148,0.99801,3.03,0.46,8.9,5,White Wine
5268,6.9,0.32,0.26,8.3,0.053,32,180,0.9965,3.25,0.51,9.2,6,White Wine
2997,4.4,0.54,0.09,5.1,0.038,52,97,0.99022,3.41,0.4,12.2,7,White Wine
5661,5.8,0.3,0.42,1.1,0.036,19,113,0.98871,3.1,0.46,12.6,7,White Wine
2595,9.4,0.4,0.47,2.5,0.087,6,20,0.99772,3.15,0.5,10.5,5,Red Wine
807,7.8,0.82,0.29,4.3,0.083,21,64,0.99642,3.16,0.53,9.4,5,Red Wine
3465,7.7,0.39,0.12,1.7,0.097,19,27,0.99596,3.16,0.49,9.4,5,Red Wine
2121,7.5,0.15,0.38,1.8,0.054,19,101,0.9946,3.24,0.44,10,5,White Wine
4393,7.2,0.2,0.61,16.2,0.043,14,103,0.9987,3.06,0.36,9.2,6,White Wine
3886,7.4,0.25,0.36,2.05,0.05,31,100,0.992,3.19,0.44,10.8,6,White Wine
730,6.6,0.24,0.38,8,0.042,56,187,0.99577,3.21,0.46,9.2,5,White Wine
6066,6.7,0.22,0.39,10.2,0.038,60,149,0.99725,3.17,0.54,10,7,White Wine
1795,7,0.23,0.33,1,0.043,46,110,0.99118,3.04,0.65,10.8,6,White Wine
1823,6.1,0.34,0.46,4.7,0.029,21,94,0.991,3.29,0.62,12.3,6,White Wine
3466,7.6,0.26,0.58,7.9,0.041,62,180,0.9966,3.07,0.38,9,5,White Wine
3611,7.4,0.29,0.48,12.8,0.037,61.5,182,0.99808,3.02,0.34,8.8,5,White Wine
4525,7.8,0.44,0.28,2.7,0.1,18,95,0.9966,3.22,0.67,9.4,5,Red Wine
199,7.9,0.37,0.3,2.7,0.029,64,158,0.9916,3.12,0.59,12,7,White Wine
1447,7,0.21,0.37,7.2,0.042,36,167,0.9958,3.26,0.56,9.8,6,White Wine
5181,5.7,0.14,0.3,5.4,0.045,26,105,0.99469,3.32,0.45,9.3,5,White Wine
2389,7.7,0.31,0.26,7.8,0.031,23,90,0.9944,3.13,0.5,10.4,5,White Wine
4961,6.8,0.34,0.74,2.8,0.088,23,185,0.9928,3.51,0.7,12,6,White Wine
3116,6.5,0.22,0.25,17.1,0.05,44,138,1.0001,3.3,0.37,8.8,5,White Wine
2850,6.6,0.42,0.33,2.8,0.034,15,85,0.99,3.28,0.51,13.4,6,White Wine
1954,9.5,0.59,0.44,2.3,0.071,21,68,0.9992,3.46,0.63,9.5,5,Red Wine
5208,5.7,0.28,0.28,2.2,0.019,15,65,0.9902,3.06,0.52,11.2,6,White Wine
6177,7.2,0.15,0.38,1.2,0.038,18,110,0.9917,3.19,0.43,11.1,6,White Wine
6376,6.9,0.14,0.38,1,0.041,22,81,0.99043,3.03,0.54,11.4,6,White Wine
4863,5,0.35,0.25,7.8,0.031,24,116,0.99241,3.39,0.4,11.3,6,White Wine
6180,6.6,0.26,0.46,6.9,0.047,59,183,0.99594,3.2,0.45,9.3,5,White Wine
